intervention,score,model_state,allocation,requested_ratio,requested_count,eligible_count,eligible_tensor_count,pruned_count,actual_ratio,seed,accuracy,nll,ece,examples,baseline_accuracy,baseline_nll,baseline_ece,accuracy_drop,nll_change,ece_change,provenance_id,artifact_path
pretrain_high,u_positive,unfinetuned,global,0.001,123568,123568128,49,123568,0.000999998964134182,1234,0.5091743119266054,0.9900080014806275,0.3238437873119281,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,-0.018348623853210955,-0.12303077244977334,-0.05054763736069995,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,global,0.001,123568,123568128,49,123568,0.000999998964134182,1234,0.5642201834862385,1.8155109969847794,0.3791763171608623,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.2637614678899083,1.3033439169783112,0.27379170322150215,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,global,0.001,123568,123568128,49,123568,0.000999998964134182,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,global,0.001,123568,123568128,49,2623,2.1227156569046673e-05,1234,0.5653669724770642,1.797332558063192,0.3766565803583992,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.2626146788990825,1.2851654780567239,0.27127196641903906,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_only,u_positive,finetuned,global,0.001,123568,123568128,49,120945,0.0009787718075651352,1234,0.8314220183486238,0.5123601060941678,0.09966823305533884,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.0034403669724770714,0.0001930260876996659,-0.0057163808840213215,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,unfinetuned,global,0.005,617840,123568128,49,617840,0.0049999948206709095,1234,0.5091743119266054,1.4344321697130116,0.4344420813159455,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,-0.018348623853210955,0.3213933957826107,0.06005065664331749,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,global,0.005,617840,123568128,49,617840,0.0049999948206709095,1234,0.5103211009174312,1.977970622001438,0.462193326084815,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.31766055045871555,1.4658035419949698,0.35680871214545484,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,global,0.005,617840,123568128,49,617840,0.0049999948206709095,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,global,0.005,617840,123568128,49,67621,0.0005472365819121255,1234,0.5091743119266054,2.0577644426888284,0.46957566218729874,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.3188073394495413,1.5455973626823603,0.3641910482479386,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_only,u_positive,finetuned,global,0.005,617840,123568128,49,550219,0.004452758238758784,1234,0.8371559633027523,0.5355159850842363,0.10338169987468226,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.00917431192660556,0.0233489050777681,-0.0020029140646778965,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,unfinetuned,global,0.01,1235681,123568128,49,1235681,0.009999997734043522,1234,0.5091743119266054,0.7313437368891654,0.14439341714839482,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,-0.018348623853210955,-0.3816950370412354,-0.22999800752423322,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,global,0.01,1235681,123568128,49,1235681,0.009999997734043522,1234,0.5091743119266054,1.640715242525853,0.45520440227007286,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.3188073394495413,1.128548162519385,0.3498197883307127,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,global,0.01,1235681,123568128,49,1235681,0.009999997734043522,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,global,0.01,1235681,123568128,49,181222,0.0014665755881646115,1234,0.5091743119266054,1.7602179728516745,0.4646877859260059,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.3188073394495413,1.2480508928452063,0.35930317198664574,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_only,u_positive,finetuned,global,0.01,1235681,123568128,49,1054459,0.008533422145878912,1234,0.841743119266055,0.5411578332065442,0.1075267652362073,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.013761467889908285,0.028990753200076047,0.002142151296847139,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,unfinetuned,global,0.05,6178406,123568128,49,6178406,0.049999996762919316,1234,0.5229357798165137,0.6915167832593305,0.01017296314239502,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,-0.03211009174311924,-0.4215219906710703,-0.364218461530233,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,global,0.05,6178406,123568128,49,6178406,0.049999996762919316,1234,0.5298165137614679,0.6578492833933699,0.2539493546769265,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.2981651376146789,0.14568220338690174,0.14856474073756631,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,global,0.05,6178406,123568128,49,6178406,0.049999996762919316,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,global,0.05,6178406,123568128,49,1910140,0.015458193232481437,1234,0.518348623853211,0.6584784054974897,0.2914567338386558,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.30963302752293576,0.14631132549102155,0.18607211989929562,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_only,u_positive,finetuned,global,0.05,6178406,123568128,49,4268266,0.034541803530437884,1234,0.8348623853211009,0.5428906616267808,0.11045275895069584,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.006880733944954143,0.030723581620312634,0.0050681450113356785,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,unfinetuned,global,0.1,12356812,123568128,49,12356812,0.09999999352583863,1234,0.4873853211009174,0.6932384989677219,0.018465101718902588,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,0.0034403669724770714,-0.4198002749626789,-0.35592632295372545,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,global,0.1,12356812,123568128,49,12356812,0.09999999352583863,1234,0.6295871559633027,0.6923753695750455,0.12864530086517334,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.19839449541284404,0.18020828956857737,0.02326068692581318,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,global,0.1,12356812,123568128,49,12356812,0.09999999352583863,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,global,0.1,12356812,123568128,49,5242309,0.04242444297610465,1234,0.536697247706422,0.6929667510023905,0.03588902950286865,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.29128440366972475,0.1807996709959223,-0.06949558443649151,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_only,u_positive,finetuned,global,0.1,12356812,123568128,49,7114503,0.05757555054973399,1234,0.8314220183486238,0.5707451367596967,0.11603931692945713,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.0034403669724770714,0.05857805675322858,0.010654702990096965,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,unfinetuned,global,0.2,24713625,123568128,49,24713625,0.19999999514437897,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,0.0,-0.41989159146580124,-0.3652171075511223,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,global,0.2,24713625,123568128,49,24713625,0.19999999514437897,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,global,0.2,24713625,123568128,49,24713625,0.19999999514437897,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,global,0.2,24713625,123568128,49,13442267,0.1087842570537283,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_only,u_positive,finetuned,global,0.2,24713625,123568128,49,11271358,0.09121573809065069,1234,0.8302752293577982,0.567943437657225,0.11009345392537218,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.002293577981651418,0.055776357650756836,0.0047088399860120145,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,unfinetuned,layer_balanced,0.001,123557,123568128,49,123557,0.0009999099444154402,1234,0.4908256880733945,1.057143713356158,0.35519246420291845,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,0.0,-0.05589506057424276,-0.01919896046970959,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,layer_balanced,0.001,123557,123568128,49,123557,0.0009999099444154402,1234,0.8325688073394495,0.5154022771284121,0.0997001481814106,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.004587155963302725,0.003235197121943978,-0.005684465757949564,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,layer_balanced,0.001,123557,123568128,49,123557,0.0009999099444154402,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,layer_balanced,0.001,123557,123568128,49,8615,6.971862517816892e-05,1234,0.8279816513761468,0.511738364302784,0.10646796830401217,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.0,-0.00042871570368419043,0.0010833543646520116,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_only,u_positive,finetuned,layer_balanced,0.001,123557,123568128,49,114942,0.0009301913192372713,1234,0.8337155963302753,0.5158654265447494,0.1006571545015924,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.005733944954128489,0.003698346538281272,-0.004727459437767756,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,unfinetuned,layer_balanced,0.005,617835,123568128,49,617835,0.004999954357162391,1234,0.5091743119266054,1.139290345918148,0.37912892792987307,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,-0.018348623853210955,0.02625157198774719,0.004737503257245035,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,layer_balanced,0.005,617835,123568128,49,617835,0.004999954357162391,1234,0.5091743119266054,2.0457524553351445,0.476283662244934,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.3188073394495413,1.5335853753286763,0.37089904830557385,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,layer_balanced,0.005,617835,123568128,49,617835,0.004999954357162391,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,layer_balanced,0.005,617835,123568128,49,75788,0.0006133296767269955,1234,0.5091743119266054,2.055694934425004,0.47690842993591603,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.3188073394495413,1.5435278544185358,0.3715238159965559,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_only,u_positive,finetuned,layer_balanced,0.005,617835,123568128,49,542047,0.004386624680435395,1234,0.8314220183486238,0.5292971465018911,0.1079781860420519,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,-0.0034403669724770714,0.017130066495422924,0.0025935721026917324,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,unfinetuned,layer_balanced,0.01,1235670,123568128,49,1235670,0.009999908714324782,1234,0.4908256880733945,0.6933401943346776,0.030495554208755493,872.0,0.4908256880733945,1.1130387739304008,0.37439142467262804,0.0,-0.4196985795957232,-0.34389587046387254,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
pretrain_high,u_positive,finetuned,layer_balanced,0.01,1235670,123568128,49,1235670,0.009999908714324782,1234,0.7740825688073395,0.6735111294536416,0.2604600191116333,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.053899082568807266,0.1613440494471734,0.15507540517227314,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
finetune_high,u_positive,finetuned,layer_balanced,0.01,1235670,123568128,49,1235670,0.009999908714324782,1234,0.4908256880733945,0.6931471824645996,0.009174317121505737,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.33715596330275227,0.18098010245813145,-0.09621029681785442,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
topk_intersection,u_positive,finetuned,layer_balanced,0.01,1235670,123568128,49,183588,0.0014857229203957835,1234,0.7706422018348624,0.6742168063417487,0.25744783878326416,872.0,0.8279816513761468,0.5121670800064682,0.10538461393936016,0.05733944954128434,0.16204972633528059,0.152063224843904,a65d3536046adfedc65ec805ce944efbf7a25222e8d70b26a101eb94f9543794,/home/sophgo13/cjl/storage/parameter-importance/runs/stage-b-sst2-reuse-intervention-seed1234
