rule,scope,phase,mse_n,mse_mean,mse_std,mse_ci_low,mse_ci_high,mean_squared_error_n,mean_squared_error_mean,mean_squared_error_std,mean_squared_error_ci_low,mean_squared_error_ci_high,mean_estimate_mse_n,mean_estimate_mse_mean,mean_estimate_mse_std,mean_estimate_mse_ci_low,mean_estimate_mse_ci_high,absolute_bias_n,absolute_bias_mean,absolute_bias_std,absolute_bias_ci_low,absolute_bias_ci_high,spearman_n,spearman_mean,spearman_std,spearman_ci_low,spearman_ci_high,nonzero_spearman_n,nonzero_spearman_mean,nonzero_spearman_std,nonzero_spearman_ci_low,nonzero_spearman_ci_high,topk_overlap_n,topk_overlap_mean,topk_overlap_std,topk_overlap_ci_low,topk_overlap_ci_high,relative_error_p50_n,relative_error_p50_mean,relative_error_p50_std,relative_error_p50_ci_low,relative_error_p50_ci_high,relative_error_p90_n,relative_error_p90_mean,relative_error_p90_std,relative_error_p90_ci_low,relative_error_p90_ci_high,relative_error_p95_n,relative_error_p95_mean,relative_error_p95_std,relative_error_p95_ci_low,relative_error_p95_ci_high,relative_error_p99_n,relative_error_p99_mean,relative_error_p99_std,relative_error_p99_ci_low,relative_error_p99_ci_high
gauss_legendre,layer,early,0,,,,,0,,,,,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0
gauss_legendre,layer,late,0,,,,,0,,,,,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
gauss_legendre,layer,middle,0,,,,,0,,,,,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
gauss_legendre,module,early,0,,,,,0,,,,,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0
gauss_legendre,module,late,0,,,,,0,,,,,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
gauss_legendre,module,middle,0,,,,,0,,,,,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
gauss_legendre,parameter,early,0,,,,,0,,,,,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,1.0,8.599750569898517e-17,0.9999999999999999,1.0,6,1.0,1.7199501139797033e-16,0.9999999999999999,1.0,6,1.0,0.0,1.0,1.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0
gauss_legendre,parameter,late,0,,,,,0,,,,,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
gauss_legendre,parameter,middle,0,,,,,0,,,,,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,1.0,4.5324665183683945e-17,1.0,1.0,7,1.0,1.5700924586837752e-16,0.9999999999999999,1.0,7,1.0,0.0,1.0,1.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0
left,layer,early,0,,,,,0,,,,,6,5.3742816172274474e-05,9.149980934261493e-05,4.0635591356673815e-06,0.00012866217780637776,6,0.004224740608448016,0.004458296913928512,0.0013701296122055199,0.007659176660085205,6,0.9083333333333333,0.10632758605157717,0.8222222222222223,0.9750000000000001,6,0.9083333333333333,0.10632758605157717,0.8222222222222223,0.9750000000000001,6,1.0,0.0,1.0,1.0,6,0.8134668228104519,0.665268568635995,0.3935179884385905,1.3427199773824057,6,6.45130158017718,8.788228682619204,0.7754005398529794,13.04986268386133,6,10.186278973588744,15.30681523114774,0.8532752117773632,22.442158425534966,6,13.174260888318,20.659755221242605,0.9178484240898094,29.77556692120626
left,layer,late,0,,,,,0,,,,,7,1.122263017347186e-10,1.9299575468458904e-10,5.162762842077281e-12,2.540361079829152e-10,7,5.763353803681245e-06,8.050737800760722e-06,8.947280490618231e-07,1.1742426236362061e-05,7,0.9976190476190476,0.006299407883487139,0.9928571428571429,1.0,7,0.9976190476190476,0.006299407883487139,0.9928571428571429,1.0,7,1.0,0.0,1.0,1.0,7,0.06642711346933547,0.09972836993640541,0.01219920512128506,0.14164800155490379,7,0.16307084106926387,0.2569063022664543,0.03256069194096864,0.3630661559731733,7,0.24774186329950001,0.4559183622353404,0.03575178934197874,0.6017725303248591,7,0.31547868108368904,0.6168220629048052,0.03697987020518122,0.7915229657454471
left,layer,middle,0,,,,,0,,,,,7,6.362899587685355e-08,6.857114461770167e-08,2.1723372269891913e-08,1.1635336946135863e-07,7,0.0001906044312385245,0.00011817571449352657,0.00011360110546771968,0.0002721198748657523,7,0.9357142857142857,0.0741798187018916,0.8832738095238098,0.9833333333333334,7,0.9357142857142857,0.0741798187018916,0.880952380952381,0.9833333333333334,7,1.0,0.0,1.0,1.0,7,0.3933341125138502,0.3944917469248705,0.17018576052376094,0.6887948583943373,7,1.2708083756993038,1.266266802032527,0.4959099825871792,2.1244566296638707,7,1.6890256583857768,1.9124489274719385,0.5689550122551498,3.084727137780639,7,2.0235994845349556,2.509578103103396,0.6133819237716044,3.8865273338059665
left,module,early,0,,,,,0,,,,,6,0.00011397913013023774,0.00019759391600153035,7.354590349740983e-06,0.00027621620592252575,6,0.004224740608448019,0.004458296913928513,0.0013701296122055199,0.0077965581349951464,6,0.7583333333333334,0.24489226656271165,0.5805555555555556,0.9194444444444444,6,0.7583333333333334,0.24489226656271165,0.5887500000000012,0.9194444444444446,6,0.8333333333333334,0.408248290463863,0.5,1.0,6,0.946758295652658,0.9080651149852608,0.41253877120519283,1.6972425040650825,6,6.657012546804406,8.332228683651243,1.460203290995041,13.451211759435465,6,12.8191574838854,17.47743184490127,2.1431586512945064,27.481459784066818,6,17.74887343355021,24.81013299548305,2.7043380655626446,36.657057223724706
left,module,late,0,,,,,0,,,,,7,1.9155363833510366e-10,3.3019147109342814e-10,8.51152287878478e-12,4.343964310919982e-10,7,5.7633538036812576e-06,8.050737800760742e-06,8.477141326702307e-07,1.17099618324068e-05,7,0.988095238095238,0.024933774718103225,0.969047619047619,1.0,7,0.988095238095238,0.024933774718103225,0.969047619047619,1.0,7,1.0,0.0,1.0,1.0,7,0.05250259069750325,0.06804678882507263,0.012678115540374683,0.10313505491405475,7,0.14156758975046468,0.1898706789465078,0.032796765217969856,0.2859663686425472,7,0.17646361096347257,0.23586397384538274,0.04743118917254996,0.3604944126368765,7,0.204380427933879,0.272895688776076,0.05630901000531381,0.41459058739260474
left,module,middle,0,,,,,0,,,,,7,1.140801608131489e-07,1.244937239718535e-07,3.9043658783158655e-08,2.0615521132027388e-07,7,0.00019060443123852444,0.00011817571449352656,0.00011335053458591615,0.0002751102781431715,7,0.9285714285714286,0.07918232927769477,0.8690476190476188,0.9761904761904762,7,0.9285714285714286,0.07918232927769477,0.8690476190476188,0.9761904761904762,7,1.0,0.0,1.0,1.0,7,0.35608709267065297,0.3300096906775021,0.17594053637536328,0.6071519574016397,7,1.613087024745797,1.471589917017976,0.677485739359197,2.6652666218763366,7,2.088631794377264,2.0192429565539802,0.822958808408938,3.547182864200145,7,2.469067610082438,2.4871309180605383,0.8875418212892247,4.254253389792257
left,parameter,early,0,,,,,0,,,,,6,4.915290694877856e-15,9.726559993116582e-15,3.7303379510643043e-16,1.3013324810232169e-14,6,7.925258856576432e-09,1.0032584973047173e-08,2.37139828351399e-09,1.6280595808127247e-08,6,0.9200569441641587,0.08714935852417392,0.8485861843750767,0.9666496196495796,6,0.929263223165438,0.1010355921567365,0.8456888927569391,0.9799116861133675,6,0.9164827941793933,0.03338582782831064,0.8911498570249243,0.9397407682268342,6,0.2072050697004253,0.18021035902511748,0.10538048010127658,0.35601573703415496,6,1.0405552390610175,0.8375231138740385,0.522671060272912,1.7265030780287542,6,2.232632422266587,1.7732020164729247,1.1199925483918387,3.6541408941064923,6,13.716384579162387,11.254113835660757,6.003304126306304,21.611172131675417
left,parameter,late,0,,,,,0,,,,,7,1.5784314940017775e-20,2.884586434039113e-20,6.966390173515134e-22,3.768012316006339e-20,7,8.115309031566438e-12,1.1561541761630605e-11,1.2250730952912062e-12,1.6665358964744685e-11,7,0.9994175659896356,0.0004904100362933059,0.9990752555542907,0.9997441411933939,7,0.9998452687424529,0.00019988174426996825,0.9996954852905395,0.9999706129630681,7,0.9966953727093963,0.0034009872974795482,0.9941580542445502,0.9989059045409328,7,0.002809637978265976,0.0029030468005555254,0.0009616358861697078,0.004935067309224749,7,0.012730601335011787,0.013131446988111648,0.004364391240912674,0.022154799875515403,7,0.026035884868743326,0.025881809232049198,0.00959909977764023,0.045020393723359815,7,0.13281544717021115,0.11072604894890957,0.06009494134409788,0.20972546486609683
left,parameter,middle,0,,,,,0,,,,,7,1.2227284580868113e-17,1.4574157488690784e-17,3.4471500412441925e-18,2.2971619796436568e-17,7,3.070820859571115e-10,2.193468310859728e-10,1.6554963002535367e-10,4.664422571704648e-10,7,0.993409066150738,0.0033373056504079767,0.9911502174465848,0.9956426616416175,7,0.9967895853163035,0.0018812672450390646,0.9954143071910043,0.9980020078236729,7,0.9763273650598675,0.007876277245283829,0.9709878867567534,0.9815078572992436,7,0.02531180005213655,0.01184725958152776,0.017552463805706242,0.033542267574208584,7,0.11508019487856473,0.047744311657606855,0.08120458677126886,0.14724647666176938,7,0.252239016420332,0.11971359912875942,0.17389440046037585,0.3359344872427072,7,1.2869415004184226,0.732969775037281,0.8128720805841698,1.8145472713030624
simpson,layer,early,0,,,,,0,,,,,6,8.48345496756804e-09,2.0757735142614125e-08,1.7107462874628225e-12,2.5433567784175865e-08,6,2.969892695693844e-05,6.894604161434266e-05,6.065519592963726e-07,8.607538043477494e-05,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,0.0014120362459475993,0.002319886593365724,0.00018875024605571422,0.0033254410744402996,6,0.0043379272181914025,0.00488586511333938,0.0009809150117076862,0.007796069720724674,6,0.0058705111882734855,0.006309400281578719,0.0016457039699725711,0.010664715065848785,6,0.007096578364339154,0.0075600338416915375,0.0021309957069728025,0.012701528489489687
simpson,layer,late,0,,,,,0,,,,,7,7.29389039206825e-21,1.1729918804056063e-20,9.47285565726497e-22,1.62486913330835e-20,7,2.3920282086816923e-11,2.57822850928282e-11,7.752034117357919e-12,4.278210434489254e-11,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,6.136412945300833e-08,4.548698648053617e-08,3.313822729755267e-08,9.439282849389847e-08,7,2.266013845562806e-07,1.732361296340261e-07,1.177838549619187e-07,3.5488169879206287e-07,7,2.8296167933538666e-07,2.1531235109764214e-07,1.4270443274379558e-07,4.3461112778270467e-07,7,3.2804991515867176e-07,2.519592481370447e-07,1.6567929581868177e-07,5.066034475257431e-07
simpson,layer,middle,0,,,,,0,,,,,7,2.212149698826477e-17,5.1229049057343334e-17,7.444988558144914e-19,6.122577571108603e-17,7,2.21711799509697e-09,3.4447475234617933e-09,4.683499295199081e-10,4.878403472221448e-09,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,3.446385689418028e-06,5.273820763475428e-06,5.319710901532886e-07,7.378692922991426e-06,7,1.618938458180223e-05,2.8885210852011952e-05,2.3474215573191734e-06,3.828570445380595e-05,7,2.5295342896204104e-05,5.110692705350431e-05,2.826657867982405e-06,6.483042907728233e-05,7,3.2580109547725623e-05,6.901369515460941e-05,2.8961188388088873e-06,8.582986727423154e-05
simpson,module,early,0,,,,,0,,,,,6,1.727708840955546e-08,4.2287087568283806e-08,2.9094432399791104e-12,5.180610475532703e-08,6,2.96989269569375e-05,6.894604161434142e-05,6.065519592955053e-07,8.61190857301181e-05,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,1.0,0.0,1.0,1.0,6,0.0015677255527918384,0.0025052144315792333,0.00019413006977328818,0.00363100530450113,6,0.004936500285798249,0.006036018755227427,0.0010541196860997873,0.009738358524171214,6,0.008685107625175137,0.012146257942573789,0.0016660023571932522,0.018613870591118315,6,0.011683993496676653,0.017205785183610545,0.002138303785623186,0.025883507198950276
simpson,module,late,0,,,,,0,,,,,7,7.274900078025428e-21,1.1714497775099247e-20,9.175251043187879e-22,1.6219759187016465e-20,7,2.3064798037306488e-11,2.4595767352048415e-11,7.719037956876799e-12,4.0762411239072153e-11,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,6.933793719523836e-08,4.5791655519048254e-08,4.0959925556633535e-08,1.028828120803071e-07,7,1.860031422835885e-07,1.337766166995984e-07,9.96549755485346e-08,2.789408901839008e-07,7,2.6157987294523514e-07,1.7817991739137521e-07,1.4333555377913862e-07,3.870332874198426e-07,7,3.220412574745527e-07,2.1808158583539986e-07,1.7029082744385657e-07,4.717522023082745e-07
simpson,module,middle,0,,,,,0,,,,,7,3.7158407485633604e-17,8.660142470104554e-17,1.1726600877394302e-18,1.0318334401884948e-16,7,2.2134638723741093e-09,3.4472694861922153e-09,4.6414968498103677e-10,4.800966952991891e-09,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,2.977113666958121e-06,4.263574675480991e-06,6.334862743957611e-07,6.249799347490257e-06,7,1.5168737961188567e-05,1.9914591915875505e-05,3.765894127506247e-06,2.9927901284257465e-05,7,1.7311494900258755e-05,2.2085715409306512e-05,4.780997067028928e-06,3.353955303862421e-05,7,1.902570045151491e-05,2.3972427002897972e-05,4.991985836901247e-06,3.638436991103109e-05
simpson,parameter,early,0,,,,,0,,,,,6,5.267643693201211e-19,1.2877384035168447e-18,8.719044726814591e-23,1.5784666916114441e-18,6,5.34623225036848e-11,1.232698394370001e-10,8.327122304551341e-13,1.545467349089247e-10,6,0.999877324974646,0.00025578884427430884,0.9996660236922855,0.9999891274185769,6,0.9999634874264127,8.889879558598404e-05,0.999890855076449,0.9999999714138873,6,0.9997102112732791,0.0005869015329020156,0.9992280198923492,0.9999786745826614,6,0.0004516908973925694,0.0009976119013187959,1.5343304645848467e-05,0.0012706849219764936,6,0.002545478667628076,0.005555038432236743,9.997263884352766e-05,0.007112923352449518,6,0.005241368825279959,0.01131156497542011,0.0002556964632159778,0.01451984704774663,6,0.026323483646712904,0.05570175001013402,0.0016927107517938468,0.07263097601860675
simpson,parameter,late,0,,,,,0,,,,,7,2.4359126665086714e-29,3.74084335429511e-29,3.922540764281084e-30,5.294021636962614e-29,7,1.8918097902075607e-16,2.1408691226006454e-16,5.536053169500913e-17,3.436933328705927e-16,7,0.9999954353004609,1.1643124609885003e-06,0.9999946074799129,0.9999962355303325,7,0.999999999999849,2.001688291027116e-14,0.9999999999998362,0.9999999999998638,7,0.9999993907023618,7.599276696315189e-07,0.9999987814047235,0.9999997969007872,7,1.9730140224236848e-07,2.756926341897307e-09,1.953331233540114e-07,1.9904739975953827e-07,7,5.327606636625124e-07,1.5757485278759217e-08,5.228615013231794e-07,5.442547624291385e-07,7,7.473223774090073e-07,4.95685073550795e-08,7.148403065072708e-07,7.829588807010659e-07,7,3.598902240060598e-06,5.453881033442406e-07,3.2344497422415854e-06,3.978685003333004e-06
simpson,parameter,middle,0,,,,,0,,,,,7,2.582437729779575e-27,4.104702260945897e-27,6.185562466862444e-28,5.757163575903646e-27,7,4.2496099532713234e-15,5.031027443816009e-15,1.5920508297898013e-15,8.096114181059274e-15,7,0.9999953379579384,1.0879617839305307e-06,0.99999458190073,0.9999960521940102,7,0.9999999999979735,4.00479369234897e-12,0.9999999999948701,0.9999999999996894,7,0.9999995938015745,6.937158778825274e-07,0.999999187603149,1.0,7,2.5199315738922417e-07,8.820721680185375e-08,2.085579198687487e-07,3.2128883134006063e-07,7,1.0229066620217302e-06,7.729756716772812e-07,6.285205652649581e-07,1.6162210236078321e-06,7,2.1862587130634667e-06,2.030766229644353e-06,1.0415945036088487e-06,3.7828039417498887e-06,7,1.2038453160812754e-05,1.1775895731399833e-05,5.494659699537602e-06,2.097817530635842e-05
trapezoid,layer,early,0,,,,,0,,,,,6,3.442508848809252e-07,4.6296891690639816e-07,3.971589210074833e-08,6.989868274036098e-07,6,0.0003743303225095926,0.0003478774534211712,0.00013371291265420953,0.0006338290569996272,6,0.9944444444444445,0.01360827634879543,0.9833333333333334,1.0,6,0.9944444444444445,0.01360827634879543,0.9833333333333334,1.0,6,1.0,0.0,1.0,1.0,6,0.07652102472521986,0.06986000861188632,0.03153554161402374,0.1320551771510986,6,0.5904320255295148,0.7897907519716055,0.06789135185626113,1.151446363316872,6,0.9319910806520854,1.3373836813695117,0.076167506727187,1.9420782746335534,6,1.2052383247501426,1.7830985931166037,0.07569205523088894,2.5665451743303023
trapezoid,layer,late,0,,,,,0,,,,,7,2.164491025397746e-15,4.82046401017003e-15,2.7637331984006304e-17,5.870113898345233e-15,7,1.6817420985029963e-08,2.9125563691273116e-08,1.6661369946458413e-09,3.9201221785897295e-08,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,5.395985102952823e-05,8.530564202560118e-05,9.851222604765402e-06,0.00011842023875637401,7,0.0003512681610542133,0.0005625919955369573,5.9312179515713374e-05,0.0007862590665011039,7,0.0005099994153181918,0.0008901972971281162,6.8755573227929e-05,0.00120320503281218,7,0.0006369844187293748,0.0011546240097442993,8.039946965409357e-05,0.0015415862532280073
trapezoid,layer,middle,0,,,,,0,,,,,7,5.4996411822765155e-11,8.985818167106146e-11,7.501436930539601e-12,1.2324638012060696e-10,7,4.076547944915556e-06,4.193341744947355e-06,1.4595339435512191e-06,7.147737553502629e-06,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,0.004476784712603331,0.006152625305338706,0.0010630688476071695,0.009300877234725334,7,0.02125254234582915,0.02699672174000232,0.005961168072788159,0.041851500028428495,7,0.029739741387968758,0.04441600192425123,0.006875859582059371,0.06331687397494729,7,0.03652950062168046,0.058657019493627255,0.007155609422786217,0.08275884554451358
trapezoid,module,early,0,,,,,0,,,,,6,6.711051782414533e-07,8.878431008106579e-07,7.58650051417981e-08,1.293124511410835e-06,6,0.00037433032250959154,0.00034787745342116906,0.0001337129126542098,0.0006503018722952126,6,0.9777777777777777,0.0467459643732503,0.9388888888888888,1.0,6,0.9777777777777777,0.0467459643732503,0.9388888888888888,1.0,6,1.0,0.0,1.0,1.0,6,0.09259162346685883,0.10328992524202316,0.03430251987879089,0.17744983050182314,6,0.6578936800218422,0.8671658508856056,0.13409462973907216,1.3882408702709448,6,1.2756095654035156,1.8270735892378327,0.19702475614289397,2.708302481067874,6,1.7697822737088549,2.596521385929209,0.2553090031479834,3.7946107766623705
trapezoid,module,late,0,,,,,0,,,,,7,2.632977020062772e-15,6.1174863329811896e-15,3.2820636522455885e-17,7.326352327838571e-15,7,1.6235949912237088e-08,2.8927087753099474e-08,1.680217884937527e-09,3.876298300241339e-08,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,6.855257652678842e-05,8.037165675243738e-05,1.933869587233514e-05,0.00012446694956082436,7,0.00024094287913887662,0.00032429181352348175,4.244584519115073e-05,0.00048629990304756293,7,0.00030929177050570763,0.00045766570349716124,5.3485138599282096e-05,0.0006558830756307771,7,0.0003639708835991724,0.0005695538165409529,5.998284320722491e-05,0.0008012934887589475
trapezoid,module,middle,0,,,,,0,,,,,7,6.293452298919446e-11,9.601638882997883e-11,1.0085927124114057e-11,1.3456144095356208e-10,7,3.872628770480156e-06,3.9785068079565475e-06,1.422216565335317e-06,6.707994818666644e-06,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,1.0,0.0,1.0,1.0,7,0.0031581771589895328,0.003941016236319692,0.0009447937684233715,0.006153371518429574,7,0.02653412381907149,0.031420206982630906,0.008468797353799221,0.04871158719506326,7,0.030614921109522207,0.03605491591063351,0.00977678942315569,0.055672137435199213,7,0.03387955894188278,0.04000827518780974,0.010254508699818563,0.06152211904555375
trapezoid,parameter,early,0,,,,,0,,,,,6,1.8410374743373338e-16,4.2179776356680414e-16,2.2821470809897843e-18,5.306468535319171e-16,6,1.3352469139477883e-09,2.317538506356512e-09,1.7793836092924495e-10,3.2481119125352998e-09,6,0.9927490339756356,0.010296763073693788,0.9840822271029728,0.9981844923298387,6,0.9961473096277343,0.006497296415895515,0.9908275425597138,0.9995419191468947,6,0.9898277759295749,0.009079440168208162,0.9826697811253945,0.9956427433395983,6,0.021369734298942126,0.030571034470052647,0.0054145330703528685,0.04647764414680064,6,0.11655144937097289,0.16336366554856876,0.030430296453107436,0.2532198474786772,6,0.2496823934190798,0.33733659275853367,0.06834161101224633,0.5366890648824568,6,1.363910464499601,1.7286714702390402,0.3859962806700518,2.771708607103266
trapezoid,parameter,late,0,,,,,0,,,,,7,3.023247715466198e-25,6.242300981421389e-25,4.503041702597416e-27,7.812561020659713e-25,7,3.980794568330643e-14,6.494123425395704e-14,3.246129455162504e-15,8.799566279466988e-14,7,0.9999924510965771,3.4968081309115127e-06,0.9999899995928043,0.9999946795888347,7,0.9999999939209869,1.0020377751431266e-08,0.9999999865529201,0.9999999995719886,7,0.9999861892535332,1.915711186667421e-05,0.9999721754078538,0.999997562809447,7,7.964933366014933e-06,1.1431144678405825e-05,1.1015314557070398e-06,1.6439856367021705e-05,7,5.0147331389300705e-05,6.872879748082581e-05,8.386590396444557e-06,0.00010114690264600752,7,0.00011696347891761803,0.00015789637224064242,2.0794454188679963e-05,0.00022800561639584407,7,0.0006121238763819662,0.0008108757752978521,0.00011911054226157164,0.0011887521077226936
trapezoid,parameter,middle,0,,,,,0,,,,,7,7.179652762265076e-21,1.1797220210189645e-20,8.20919868061464e-22,1.6199480397988743e-20,7,7.942823529401576e-12,8.364878478049427e-12,2.9393922810313605e-12,1.4207816498112694e-11,7,0.9998746188088072,9.209208048500946e-05,0.9998114036165352,0.9999351472329255,7,0.9999949066517809,6.726964941420902e-06,0.999989818961997,0.9999985753930243,7,0.9994690986578798,0.00037423332311863175,0.9991898372403529,0.9997126146139631,7,0.00042395241608177576,0.000370148428241671,0.00019060309461368396,0.0006907950926036003,7,0.0024230835992564152,0.001788849266112924,0.0012665074684243894,0.0036950534495853314,7,0.005575030909984485,0.004083828636205937,0.0029077954207220595,0.008402696458938468,7,0.03007751660808927,0.02216624023806824,0.015284524843615572,0.04568523378614755
